0.186 0.066 0.936 0.776 0.170 0.846 0.556 0.313 0.338 0.735
0.310 0.227 0.178 0.405 0.917 0.386 0.696 0.338 0.719 0.366
0.225 0.530 0.040 0.321 0.424 0.487 0.021 0.988 0.584 0.263
0.352 0.120 0.132 0.673 0.198 0.807 0.994 0.541 0.655 0.818
0.061 0.495 0.084 0.886 0.214 0.970 0.177 0.656 0.299 0.014
0.470 0.592 0.780 0.251 0.292 0.692 0.666 0.385 0.303 0.726
0.732 0.522 0.362 0.665 0.530 0.706 0.828 0.410 0.081 0.354
0.059 0.011 0.627 0.009 0.990 0.500 0.093 0.169 0.393 0.138
0.848 0.120 0.050 0.654 0.510 0.991 0.075 0.832 0.548 0.427
0.928 0.124 0.458 0.077 0.127 0.230 0.358 0.571 0.207 0.037
0.398 0.890 0.645 0.549 0.868 0.900 0.690 0.169 0.488 0.991
0.669 0.756 0.365 0.168 0.432 0.010 0.168 0.069 0.953 0.996
0.021 0.052 0.620 0.424 0.599 0.116 0.706 0.288 0.838 0.269
0.362 0.096 0.329 0.064 0.626 0.472 0.595 0.216 0.766 0.784
0.123 0.485 0.812 0.639 0.357 0.987 0.281 0.342 0.730 0.847
0.518 0.983 0.996 0.171 0.445 0.396 0.077 0.337 0.927 0.278
0.678 0.573 0.699 0.278 0.335 0.095 0.463 0.726 0.522 0.778
0.166 0.625 0.964 0.091 0.863 0.669 0.132 0.312 0.517 0.752
0.607 0.877 0.105 0.813 0.167 0.572 0.433 0.622 0.408 0.001
0.882 0.775 0.188 0.570 0.001 0.137 0.361 0.659 0.209 0.297
0.419 0.535 0.524 0.233 0.626 0.043 0.482 0.083 0.531 0.556
0.155 0.504 0.539 0.866 0.409 0.323 0.636 0.683 0.082 0.636
0.977 0.559 0.041 0.226 0.915 0.544 0.903 0.005 0.569 0.051
0.653 0.288 0.707 0.979 0.250 0.570 0.165 0.244 0.064 0.365
0.290 0.069 0.947 0.161 0.442 0.910 0.250 0.638 0.310 0.952
0.530 0.463 0.872 0.948 0.364 0.696 0.354 0.977 0.474 0.328
0.969 0.822 0.461 0.390 0.478 0.235 0.934 0.855 0.933 0.696
0.697 0.657 0.273 0.505 0.991 0.932 0.091 0.119 0.881 0.500
0.205 0.614 0.826 0.299 0.067 0.977 0.558 0.226 0.853 0.184
0.614 0.130 0.268 0.452 0.816 0.034 0.730 0.910 0.454 0.214
0.220 0.709 0.954 0.643 0.665 0.484 0.039 0.046 0.853 0.393
0.418 0.451 0.030 0.801 0.740 0.183 0.490 0.742 0.986 0.615
0.022 0.523 0.440 0.043 0.678 0.025 0.189 0.058 0.967 0.217
0.129 0.739 0.885 0.373 0.096 0.989 0.395 0.003 0.504 0.859
0.339 0.510 0.117 0.200 0.718 0.707 0.317 0.079 0.155 0.138
0.439 0.048 0.566 0.162 0.317 0.427 0.609 0.174 0.288 0.553
0.821 0.722 0.658 0.818 0.589 0.100 0.680 0.873 0.277 0.369
0.935 0.496 0.032 0.139 0.566 0.493 0.009 0.654 0.797 0.377
0.515 0.777 0.187 0.819 0.699 0.847 0.682 0.243 0.900 0.906
