É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2018/06/21 03:18:39

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2017/10/24,9.3,8,1,14.7,8,1,4.5,8,1
2017/10/25,10.3,8,1,18.2,8,1,2.7,8,1
2017/10/26,10.5,8,1,13.8,8,1,6.8,8,1
2017/10/27,9.2,8,1,15.1,8,1,4.4,8,1
2017/10/28,11.7,8,1,16.0,8,1,5.4,8,1
2017/10/29,15.3,8,1,18.7,8,1,11.7,8,1
2017/10/30,6.3,8,1,11.8,8,1,2.3,8,1
2017/10/31,6.6,8,1,10.0,8,1,2.4,8,1
2017/11/1,11.9,8,1,15.9,8,1,5.2,8,1
2017/11/2,9.8,8,1,13.3,8,1,6.1,8,1
2017/11/3,10.5,8,1,16.4,8,1,6.6,8,1
2017/11/4,4.8,8,1,6.8,8,1,2.9,8,1
2017/11/5,5.9,8,1,8.6,8,1,3.8,8,1
2017/11/6,11.7,8,1,16.9,8,1,6.3,8,1
2017/11/7,12.0,8,1,17.4,8,1,6.7,8,1
2017/11/8,12.9,8,1,16.3,8,1,9.2,8,1
2017/11/9,6.5,8,1,9.9,8,1,4.5,8,1
2017/11/10,7.3,8,1,9.8,8,1,4.0,8,1
2017/11/11,7.2,8,1,12.8,8,1,3.4,8,1
2017/11/12,4.6,8,1,7.1,8,1,2.3,8,1
2017/11/13,6.1,8,1,10.0,8,1,1.1,8,1
2017/11/14,9.6,8,1,15.0,8,1,6.5,8,1
2017/11/15,2.6,8,1,7.0,8,1,1.2,8,1
2017/11/16,1.9,8,1,4.5,8,1,-1.2,8,1
2017/11/17,2.3,8,1,5.5,8,1,-1.1,8,1
2017/11/18,3.2,8,1,9.0,8,1,-0.8,8,1
2017/11/19,-2.3,8,1,-0.2,8,1,-6.6,8,1
2017/11/20,-3.5,8,1,-1.7,8,1,-6.5,8,1
2017/11/21,-2.0,8,1,0.2,8,1,-5.6,8,1
2017/11/22,3.3,8,1,7.1,8,1,-3.6,8,1
2017/11/23,3.4,8,1,5.6,8,1,-0.7,8,1
2017/11/24,-2.0,8,1,-0.1,8,1,-2.8,8,1
2017/11/25,-2.7,8,1,-1.9,8,1,-4.7,8,1
2017/11/26,-0.3,8,1,3.6,8,1,-3.6,8,1
2017/11/27,-2.3,8,1,0.4,8,1,-4.9,8,1
2017/11/28,4.8,8,1,7.5,8,1,-2.2,8,1
2017/11/29,4.2,8,1,11.3,8,1,-2.9,8,1
2017/11/30,-3.6,8,1,-1.7,8,1,-5.2,8,1
2017/12/1,-4.4,8,1,-2.6,8,1,-5.8,8,1
2017/12/2,-3.3,8,1,-1.9,8,1,-5.1,8,1
2017/12/3,0.2,8,1,2.8,8,1,-3.4,8,1
2017/12/4,-0.1,8,1,2.5,8,1,-2.5,8,1
2017/12/5,-1.6,8,1,1.4,8,1,-4.5,8,1
2017/12/6,-4.9,8,1,-3.3,8,1,-6.8,8,1
2017/12/7,-3.9,8,1,-1.4,8,1,-7.4,8,1
2017/12/8,-3.7,8,1,-0.3,8,1,-6.2,8,1
2017/12/9,-4.7,8,1,-0.9,8,1,-9.0,8,1
2017/12/10,-1.6,8,1,0.6,8,1,-4.5,8,1
2017/12/11,2.9,8,1,7.2,8,1,-1.9,8,1
2017/12/12,-3.0,8,1,0.2,8,1,-4.7,8,1
2017/12/13,-0.5,8,1,2.7,8,1,-5.0,8,1
2017/12/14,0.8,8,1,3.1,8,1,-1.4,8,1
2017/12/15,0.3,8,1,2.5,8,1,-2.0,8,1
2017/12/16,-1.9,8,1,0.0,8,1,-6.2,8,1
2017/12/17,-4.4,8,1,-0.7,8,1,-7.6,8,1
2017/12/18,-3.7,8,1,-1.3,8,1,-8.2,8,1
2017/12/19,-4.7,8,1,-2.4,8,1,-7.3,8,1
2017/12/20,-5.0,8,1,-3.0,8,1,-6.6,8,1
2017/12/21,-1.9,8,1,0.9,8,1,-5.5,8,1
2017/12/22,1.2,8,1,4.0,8,1,-1.9,8,1
2017/12/23,1.8,8,1,5.2,8,1,-1.1,8,1
2017/12/24,1.9,8,1,5.8,8,1,-3.5,8,1
2017/12/25,3.4,8,1,8.8,8,1,-4.0,8,1
2017/12/26,-6.3,8,1,-3.7,8,1,-7.7,8,1
2017/12/27,-5.5,8,1,-2.9,8,1,-7.3,8,1
2017/12/28,-3.0,8,1,-1.2,8,1,-4.8,8,1
2017/12/29,-2.7,8,1,-0.9,8,1,-4.7,8,1
2017/12/30,-1.6,8,1,1.8,8,1,-4.0,8,1
2017/12/31,-2.0,8,1,0.8,8,1,-5.3,8,1
2018/1/1,0.4,8,1,3.0,8,1,-2.6,8,1
2018/1/2,1.1,8,1,4.3,8,1,-1.1,8,1
2018/1/3,-0.7,8,1,1.9,8,1,-2.6,8,1
2018/1/4,-1.7,8,1,-0.2,8,1,-3.2,8,1
2018/1/5,0.1,8,1,1.0,8,1,-1.4,8,1
2018/1/6,-0.7,8,1,1.7,8,1,-2.7,8,1
2018/1/7,-1.6,8,1,0.2,8,1,-3.6,8,1
2018/1/8,2.1,8,1,4.4,8,1,-2.2,8,1
2018/1/9,2.3,8,1,5.9,8,1,-2.3,8,1
2018/1/10,-1.8,8,1,0.4,8,1,-4.0,8,1
2018/1/11,-2.8,8,1,-0.3,8,1,-6.7,8,1
2018/1/12,-2.9,8,1,-0.7,8,1,-5.2,8,1
2018/1/13,-4.6,8,1,-1.4,8,1,-8.7,8,1
2018/1/14,-3.6,8,1,-0.5,8,1,-6.2,8,1
2018/1/15,0.7,8,1,3.3,8,1,-5.0,8,1
2018/1/16,-0.2,8,1,1.5,8,1,-1.6,8,1
2018/1/17,-0.7,8,1,1.1,8,1,-2.9,8,1
2018/1/18,0.1,8,1,3.4,8,1,-2.9,8,1
2018/1/19,-1.5,8,1,0.2,8,1,-3.0,8,1
2018/1/20,-1.3,8,1,2.6,8,1,-5.6,8,1
2018/1/21,-6.2,8,1,-1.2,8,1,-9.6,8,1
2018/1/22,-6.7,8,1,-4.3,8,1,-9.3,8,1
2018/1/23,-2.5,8,1,1.7,8,1,-7.1,8,1
2018/1/24,-7.6,8,1,-4.2,8,1,-11.6,8,1
2018/1/25,-7.1,8,1,-3.5,8,1,-12.7,8,1
2018/1/26,-3.9,8,1,-1.8,8,1,-5.2,8,1
2018/1/27,-3.7,8,1,-1.2,8,1,-5.1,8,1
2018/1/28,-3.9,8,1,-2.3,8,1,-6.3,8,1
2018/1/29,-7.1,8,1,-5.3,8,1,-9.6,8,1
2018/1/30,-7.5,8,1,-5.1,8,1,-11.5,8,1
2018/1/31,-6.3,8,1,-3.2,8,1,-10.3,8,1
2018/2/1,-5.5,8,1,-1.1,8,1,-9.4,8,1
2018/2/2,-6.5,8,1,-1.7,8,1,-11.1,8,1
2018/2/3,-3.9,8,1,-0.9,8,1,-8.2,8,1
2018/2/4,-2.1,8,1,0.9,8,1,-3.9,8,1
2018/2/5,-2.0,8,1,-0.1,8,1,-4.6,8,1
2018/2/6,-4.8,8,1,-1.4,8,1,-8.2,8,1
2018/2/7,-5.4,8,1,-1.5,8,1,-11.1,8,1
2018/2/8,-3.5,8,1,0.0,8,1,-6.4,8,1
2018/2/9,-1.8,8,1,1.8,8,1,-5.3,8,1
2018/2/10,1.4,8,1,3.2,8,1,-2.0,8,1
2018/2/11,-2.9,8,1,2.0,8,1,-8.1,8,1
2018/2/12,-8.9,8,1,-7.6,8,1,-10.2,8,1
2018/2/13,-8.1,8,1,-6.1,8,1,-9.8,8,1
2018/2/14,-4.3,8,1,-1.7,8,1,-8.0,8,1
2018/2/15,-4.2,8,1,-2.3,8,1,-5.1,8,1
2018/2/16,-3.1,8,1,0.1,8,1,-6.5,8,1
2018/2/17,-2.8,8,1,1.3,8,1,-4.8,8,1
2018/2/18,-6.1,8,1,-4.1,8,1,-9.0,8,1
2018/2/19,-5.4,8,1,-2.2,8,1,-10.1,8,1
2018/2/20,-4.9,8,1,-2.5,8,1,-7.4,8,1
2018/2/21,-6.5,8,1,-4.2,8,1,-9.5,8,1
2018/2/22,-4.1,8,1,-0.5,8,1,-10.4,8,1
2018/2/23,-0.1,8,1,4.4,8,1,-3.4,8,1
2018/2/24,-3.8,8,1,-1.2,8,1,-7.1,8,1
2018/2/25,-5.3,8,1,-2.3,8,1,-6.8,8,1
2018/2/26,-4.7,8,1,-1.1,8,1,-7.7,8,1
2018/2/27,-5.0,8,1,-0.7,8,1,-10.1,8,1
2018/2/28,-3.7,8,1,0.4,8,1,-9.3,8,1
2018/3/1,0.0,8,1,1.6,8,1,-3.8,8,1
2018/3/2,0.0,8,1,3.4,8,1,-1.7,8,1
2018/3/3,0.9,8,1,3.7,8,1,-4.2,8,1
2018/3/4,4.4,8,1,10.2,8,1,0.3,8,1
2018/3/5,-1.4,8,1,0.6,8,1,-3.4,8,1
2018/3/6,-4.7,8,1,-2.3,8,1,-6.6,8,1
2018/3/7,-4.0,8,1,-1.1,8,1,-6.7,8,1
2018/3/8,0.9,8,1,6.0,8,1,-5.6,8,1
2018/3/9,2.9,8,1,7.2,8,1,-0.1,8,1
2018/3/10,0.0,8,1,1.5,8,1,-2.6,8,1
2018/3/11,0.3,8,1,3.5,8,1,-3.9,8,1
2018/3/12,0.8,8,1,2.6,8,1,-0.4,8,1
2018/3/13,2.8,8,1,8.9,8,1,-0.5,8,1
2018/3/14,3.8,8,1,6.0,8,1,2.2,8,1
2018/3/15,4.4,8,1,8.4,8,1,0.8,8,1
2018/3/16,-1.2,8,1,1.1,8,1,-5.4,8,1
2018/3/17,-1.0,8,1,3.2,8,1,-7.8,8,1
2018/3/18,4.0,8,1,7.8,8,1,0.0,8,1
2018/3/19,2.1,8,1,6.5,8,1,-1.3,8,1
2018/3/20,-1.7,8,1,1.3,8,1,-3.4,8,1
2018/3/21,-0.7,8,1,4.0,8,1,-6.4,8,1
2018/3/22,3.2,8,1,6.6,8,1,-0.5,8,1
2018/3/23,2.3,8,1,5.0,8,1,0.1,8,1
2018/3/24,4.5,8,1,10.0,8,1,-2.0,8,1
2018/3/25,6.9,8,1,9.5,8,1,3.4,8,1
2018/3/26,5.5,8,1,8.8,8,1,2.1,8,1
2018/3/27,6.7,8,1,12.4,8,1,0.2,8,1
2018/3/28,10.8,8,1,16.4,8,1,5.0,8,1
2018/3/29,7.8,8,1,12.3,8,1,4.3,8,1
2018/3/30,5.5,8,1,8.8,8,1,2.1,8,1
2018/3/31,8.0,8,1,15.6,8,1,0.4,8,1
2018/4/1,6.2,8,1,8.3,8,1,4.8,8,1
2018/4/2,7.0,8,1,13.0,8,1,2.9,8,1
2018/4/3,6.5,8,1,8.4,8,1,4.8,8,1
2018/4/4,5.0,8,1,7.9,8,1,0.8,8,1
2018/4/5,2.9,8,1,7.0,8,1,-0.1,8,1
2018/4/6,2.1,8,1,3.7,8,1,1.2,8,1
2018/4/7,2.7,8,1,6.1,8,1,0.8,8,1
2018/4/8,4.4,8,1,8.5,8,1,-0.3,8,1
2018/4/9,4.5,8,1,8.6,8,1,1.8,8,1
2018/4/10,7.2,8,1,11.9,8,1,2.1,8,1
2018/4/11,8.5,8,1,12.1,8,1,6.1,8,1
2018/4/12,7.9,8,1,14.4,8,1,3.6,8,1
2018/4/13,4.4,8,1,7.0,8,1,2.5,8,1
2018/4/14,5.5,8,1,10.5,8,1,2.0,8,1
2018/4/15,4.2,8,1,6.6,8,1,0.9,8,1
2018/4/16,6.3,8,1,10.6,8,1,1.1,8,1
2018/4/17,10.1,8,1,16.6,8,1,2.4,8,1
2018/4/18,10.6,8,1,19.1,8,1,5.4,8,1
2018/4/19,11.1,8,1,20.1,8,1,4.4,8,1
2018/4/20,12.7,8,1,19.8,8,1,8.8,8,1
2018/4/21,15.8,8,1,24.5,8,1,8.9,8,1
2018/4/22,9.8,8,1,12.6,8,1,6.9,8,1
2018/4/23,9.6,8,1,16.4,8,1,4.2,8,1
2018/4/24,10.3,8,1,13.0,8,1,7.0,8,1
2018/4/25,10.1,8,1,13.3,8,1,8.3,8,1
2018/4/26,11.2,8,1,14.1,8,1,8.9,8,1
2018/4/27,9.0,8,1,14.4,8,1,4.2,8,1
2018/4/28,10.1,8,1,17.0,8,1,2.2,8,1
2018/4/29,13.3,8,1,21.3,8,1,5.9,8,1
2018/4/30,17.5,8,1,24.5,8,1,11.8,8,1
2018/5/1,11.6,8,1,17.2,8,1,7.5,8,1
2018/5/2,11.4,8,1,15.6,8,1,8.1,8,1
2018/5/3,12.5,8,1,16.8,8,1,8.5,8,1
2018/5/4,11.5,8,1,16.0,8,1,7.5,8,1
2018/5/5,9.3,8,1,12.6,8,1,7.7,8,1
2018/5/6,8.6,8,1,10.2,8,1,6.9,8,1
2018/5/7,10.4,8,1,14.0,8,1,8.5,8,1
2018/5/8,9.3,8,1,13.7,8,1,6.6,8,1
2018/5/9,9.1,8,1,14.1,8,1,5.6,8,1
2018/5/10,9.1,8,1,14.2,8,1,5.7,8,1
2018/5/11,13.9,8,1,20.5,8,1,6.6,8,1
2018/5/12,15.9,8,1,22.1,8,1,10.2,8,1
2018/5/13,14.1,8,1,15.4,8,1,12.1,8,1
2018/5/14,10.8,8,1,13.4,8,1,8.6,8,1
2018/5/15,16.7,8,1,24.2,8,1,8.2,8,1
2018/5/16,19.3,8,1,27.8,8,1,12.8,8,1
2018/5/17,14.7,8,1,20.3,8,1,10.6,8,1
2018/5/18,10.5,8,1,14.5,8,1,7.8,8,1
2018/5/19,10.1,8,1,12.2,8,1,7.5,8,1
2018/5/20,13.3,8,1,18.8,8,1,7.7,8,1
2018/5/21,15.7,8,1,21.9,8,1,10.2,8,1
2018/5/22,18.9,8,1,26.9,8,1,12.2,8,1
2018/5/23,17.3,8,1,22.3,8,1,12.5,8,1
2018/5/24,15.3,8,1,20.2,8,1,12.1,8,1
2018/5/25,13.4,8,1,18.4,8,1,11.0,8,1
2018/5/26,11.5,8,1,14.8,8,1,9.6,8,1
2018/5/27,12.4,8,1,16.4,8,1,9.9,8,1
2018/5/28,14.7,8,1,20.8,8,1,8.9,8,1
2018/5/29,16.5,8,1,23.1,8,1,10.5,8,1
2018/5/30,19.8,8,1,28.2,8,1,11.2,8,1
2018/5/31,17.1,8,1,21.6,8,1,15.7,8,1
2018/6/1,15.1,8,1,17.6,8,1,12.4,8,1
2018/6/2,16.8,8,1,23.0,8,1,11.1,8,1
2018/6/3,19.6,8,1,23.5,8,1,14.4,8,1
2018/6/4,22.0,8,1,30.7,8,1,14.5,8,1
2018/6/5,21.6,8,1,28.7,8,1,16.9,8,1
2018/6/6,22.1,8,1,28.9,8,1,17.6,8,1
2018/6/7,20.9,8,1,26.9,8,1,16.6,8,1
2018/6/8,14.8,8,1,18.1,8,1,11.9,8,1
2018/6/9,11.7,8,1,14.3,8,1,10.3,8,1
2018/6/10,12.5,8,1,16.9,8,1,8.0,8,1
2018/6/11,14.1,8,1,16.5,8,1,11.3,8,1
2018/6/12,11.2,8,1,14.3,8,1,8.5,8,1
2018/6/13,9.4,8,1,11.5,8,1,7.8,8,1
2018/6/14,10.5,8,1,13.7,8,1,9.2,8,1
2018/6/15,12.4,8,1,18.0,8,1,7.2,8,1
2018/6/16,14.0,8,1,19.8,8,1,11.2,8,1
2018/6/17,13.2,8,1,16.6,8,1,10.3,8,1
2018/6/18,15.4,8,1,20.2,8,1,11.4,8,1
2018/6/19,19.4,8,1,24.4,8,1,15.2,8,1
2018/6/20,17.1,8,1,20.5,8,1,15.5,8,1
